16:58:23.571400> Lenta has started...Start SubscribeToAggTradeStream @aggTrade [future] process...
16:58:23.572401> WebSocket connected! Start @depth [Future] process...
16:58:23.572401> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.189305> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.658299> Lenta has started...Start SubscribeToAggTradeStream @aggTrade [future] process...
16:58:24.671298> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.676314> WebSocket connected! Start Partial @depth20 [Future] process...
16:58:24.681294> WebSocket connected! Start @depth [Future] process...
16:58:25.218807> BinanceFuture - Vxxv1AWf[USD_M] USD_M Balance: 98.09298958 USDT
16:58:26.000884> Try adding SellLimit, Ask: 69515.9
16:58:34.046569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.047569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.048577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.050560> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.051569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.053563> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.054569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.055570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.057570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.059563> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.060569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.062563> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.063570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.065564> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.071568> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.076560> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.086560> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.104562> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.105564> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.107576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.109573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.111567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.112571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.113572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.115566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.116571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.117573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.119567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.120569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.121590> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.123573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.125573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.127577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.129566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.131565> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.132566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.133566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.135566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.136566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.138565> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.139566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.140567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.142566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.143567> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.145566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.150565> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.151566> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.152576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.154569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.155589> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.157571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.159569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.160569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.161570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.163572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.167568> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.176569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.186569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.188570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.190574> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.191577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.192578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.194572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.197572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.199577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.201578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.203568> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.204570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.206569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.207571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.209570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.211569> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.212570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.214570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.215570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.216571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.217583> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.219570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.220571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.221571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.222573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.224570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.225570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.226571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.228570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.229571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.231570> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.232571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.233571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.234572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.236573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.238571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.239572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.241571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.242572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.244571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.245572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.247571> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.248572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.249572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.250573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.251573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.253573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.255572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.256574> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.258573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.260572> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.261574> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.263574> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.264582> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.266573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.267573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.269573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.270573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.271573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.272573> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.310575> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.312576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.314576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.315576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.317576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.318576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.319576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.321576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.322576> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.331578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.333577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.335577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.336577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.337579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.339577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.341578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.342578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.343578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.344578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.345578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.346578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.348578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.349578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.351578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.352578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.353578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.355578> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.358577> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.360579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.362579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.364581> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.366579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.367581> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.369579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.370579> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.371580> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.401580> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
16:58:34.402582> Signal 1(s), Move:0 Stk:0 Lnt:1 Prg:0 Fon:0 Bid: 69450.2 Ask:  69450.3
